image,pts
./data_train/sample68.png,[ -33.   27.  388.   27.  436.  638.   29.  653.]
./data_train/sample69.png,[ -39.  -39.  396.   19.  433.  614.   28.  584.]
./data_train/sample70.png,[   4.   17.  374.   31.  412.  641.  -13.  591.]
./data_train/sample71.png,[  13.  -58.  436.   -1.  366.  553.  -39.  545.]
./data_train/sample72.png,[  11.  -26.  426.   27.  431.  599.   -3.  619.]
./data_train/sample73.png,[ -18.    5.  374.    0.  373.  587.  -11.  642.]
./data_train/sample74.png,[ -34.  -20.  401.   17.  376.  541.  -32.  615.]
./data_train/sample75.png,[ -10.  -26.  364.   51.  404.  545.    6.  586.]
./data_train/sample76.png,[  24.  -23.  417.   -7.  384.  570.  -26.  651.]
./data_train/sample77.png,[  39.   56.  436.    6.  434.  636.    8.  582.]
./data_train/sample78.png,[ -13.   17.  385.   20.  397.  608.    5.  648.]
./data_train/sample79.png,[ -32.   44.  422.  -22.  439.  643.   37.  596.]
./data_train/sample80.png,[  39.  -55.  423.  -12.  413.  625.  -35.  631.]
./data_train/sample81.png,[  21.  -42.  378.   50.  437.  567.   34.  601.]
./data_train/sample82.png,[ -27.  -21.  409.   -9.  420.  541.  -23.  652.]
./data_train/sample83.png,[   6.  -45.  406.    8.  434.  630.    6.  641.]
./data_train/sample84.png,[ -32.   14.  376.  -56.  383.  557.    2.  550.]
./data_train/sample85.png,[  -7.  -31.  437.  -50.  376.  569.   38.  643.]
./data_train/sample86.png,[   0.   36.  362.   14.  431.  564.   35.  542.]
./data_train/sample87.png,[  17.  -49.  376.  -41.  410.  641.  -17.  621.]
./data_train/sample88.png,[ -24.   27.  416.   11.  384.  624.   34.  576.]
./data_train/sample89.png,[  15.  -15.  437.  -11.  393.  582.  -23.  581.]
./data_train/sample90.png,[  -6.    3.  411.   10.  415.  579.   33.  659.]
./data_train/sample91.png,[ -37.    0.  404.   24.  376.  653.  -20.  600.]
./data_train/sample92.png,[ -22.  -50.  379.   30.  384.  573.  -29.  545.]
./data_train/sample93.png,[  26.  -42.  392.  -13.  389.  572.   14.  586.]
./data_train/sample94.png,[  36.   10.  362.   40.  419.  591.   18.  608.]
./data_train/sample95.png,[ -29.  -16.  400.  -55.  364.  569.   22.  612.]
./data_train/sample96.png,[  39.  -39.  399.    8.  387.  595.  -16.  631.]
./data_train/sample97.png,[   0.  -27.  419.    9.  369.  613.   -9.  644.]
./data_train/sample98.png,[  36.   53.  377.   49.  369.  654.   -6.  565.]
./data_train/sample99.png,[ -37.   -5.  428.   59.  391.  636.  -12.  563.]
./data_train/sample100.png,[  31.   -5.  388.   -2.  385.  553.   28.  647.]
./data_train/sample101.png,[  -2.  -47.  381.    2.  412.  632.  -37.  626.]
./data_train/sample102.png,[ -39.   38.  407.   15.  362.  570.  -28.  609.]
./data_train/sample103.png,[  30.  -29.  401.   -5.  389.  599.   34.  653.]
./data_train/sample104.png,[  39.    2.  371.   -2.  430.  585.   14.  623.]
./data_train/sample105.png,[  37.  -10.  382.  -49.  416.  595.   16.  640.]
./data_train/sample106.png,[   7.  -20.  376.   30.  389.  558.  -36.  647.]
./data_train/sample107.png,[   0.  -56.  401.   38.  403.  606.   20.  635.]
./data_train/sample108.png,[  20.  -51.  385.  -53.  403.  651.  -38.  621.]
./data_train/sample109.png,[  -1.  -13.  407.  -32.  363.  608.   29.  571.]
./data_train/sample110.png,[ -28.   27.  406.  -17.  399.  607.   37.  565.]
./data_train/sample111.png,[ -30.  -40.  413.    6.  397.  558.  -34.  564.]
./data_train/sample112.png,[   3.  -25.  424.   23.  411.  624.  -35.  635.]
./data_train/sample113.png,[   1.   37.  403.   23.  404.  609.   15.  652.]
./data_train/sample114.png,[   7.   26.  437.  -10.  393.  628.  -12.  634.]
./data_train/sample115.png,[  -8.    5.  416.   16.  368.  558.  -13.  557.]
./data_train/sample116.png,[ -19.   50.  374.  -57.  369.  611.  -23.  582.]
./data_train/sample117.png,[ -23.   48.  368.   53.  392.  576.   10.  554.]
./data_train/sample118.png,[  36.   49.  402.  -21.  364.  641.   18.  634.]
./data_train/sample119.png,[ -28.    4.  380.   26.  419.  591.   24.  566.]
./data_train/sample120.png,[  25.   42.  398.  -10.  389.  561.  -24.  627.]
./data_train/sample121.png,[ -19.    8.  381.  -13.  400.  542.    3.  623.]
./data_train/sample122.png,[   6.   35.  372.    2.  372.  581.  -15.  605.]
./data_train/sample123.png,[  17.   26.  418.    4.  372.  604.   16.  596.]
./data_train/sample124.png,[  17.  -22.  400.  -38.  379.  609.  -28.  633.]
./data_train/sample125.png,[ -33.   14.  406.  -18.  406.  627.   21.  649.]
./data_train/sample126.png,[  28.   57.  421.  -14.  438.  600.   13.  634.]
./data_train/sample127.png,[ -14.   -8.  379.   21.  416.  614.    1.  614.]
./data_train/sample128.png,[  38.   15.  406.   42.  421.  559.  -33.  629.]
./data_train/sample129.png,[  22.  -45.  415.  -45.  424.  590.   33.  655.]
./data_train/sample130.png,[ -19.  -59.  413.    0.  391.  555.  -34.  572.]
./data_train/sample131.png,[   8.   27.  394.   43.  371.  604.   37.  635.]
./data_train/sample132.png,[  13.   41.  393.  -24.  418.  639.  -35.  616.]
./data_train/sample133.png,[ -16.  -13.  428.   15.  370.  551.   38.  627.]
./data_train/sample134.png,[ -31.   31.  424.  -15.  414.  578.  -20.  581.]
./data_train/sample135.png,[  -3.  -11.  413.  -45.  432.  640.   30.  657.]
./data_train/sample136.png,[  -4.  -17.  381.  -24.  372.  544.    3.  598.]
./data_train/sample137.png,[  30.  -47.  436.  -28.  431.  655.   31.  559.]
./data_train/sample138.png,[ -13.  -51.  430.   45.  403.  651.   -1.  558.]
./data_train/sample139.png,[ -38.  -47.  385.    2.  377.  584.   26.  564.]
./data_train/sample140.png,[ -34.   20.  400.  -56.  388.  630.   -5.  553.]
./data_train/sample141.png,[ -34.  -48.  419.   38.  371.  588.  -20.  611.]
./data_train/sample142.png,[  -3.  -20.  389.   37.  394.  654.   -4.  575.]
./data_train/sample143.png,[  34.   31.  399.  -29.  431.  657.   -4.  573.]
./data_train/sample144.png,[ -33.  -40.  435.   16.  384.  605.  -11.  550.]
./data_train/sample145.png,[ -13.   51.  411.  -56.  439.  603.  -28.  635.]
./data_train/sample146.png,[  36.   -6.  415.  -11.  415.  543.  -21.  554.]
./data_train/sample147.png,[  23.  -19.  428.  -57.  435.  572.   14.  645.]
./data_train/sample148.png,[  25.  -31.  435.   -6.  438.  643.  -30.  636.]
./data_train/sample149.png,[ -23.   19.  405.   21.  416.  616.  -33.  625.]
./data_train/sample150.png,[ -36.  -58.  364.   49.  400.  657.   31.  598.]
./data_train/sample151.png,[ -29.  -57.  374.  -10.  387.  597.   12.  589.]
./data_train/sample152.png,[ -36.    7.  385.  -44.  409.  584.  -32.  624.]
./data_train/sample153.png,[  21.   43.  387.  -44.  403.  630.   10.  561.]
./data_train/sample154.png,[  17.  -31.  409.   42.  383.  635.   27.  567.]
./data_train/sample155.png,[ -30.  -38.  379.   31.  365.  579.  -24.  634.]
./data_train/sample156.png,[ -15.  -23.  409.   19.  362.  655.    6.  572.]
./data_train/sample157.png,[  23.    1.  368.   54.  388.  598.   21.  615.]
./data_train/sample158.png,[  20.   46.  375.  -27.  429.  566.  -26.  565.]
./data_train/sample159.png,[ -24.   59.  368.  -23.  419.  552.    2.  620.]
./data_train/sample160.png,[  38.   24.  402.   26.  432.  620.    4.  655.]
./data_train/sample161.png,[  32.  -37.  364.    5.  404.  628.  -19.  603.]
./data_train/sample162.png,[  36.   22.  383.   59.  415.  658.  -22.  544.]
./data_train/sample163.png,[ -13.  -46.  430.    9.  370.  626.   16.  578.]
./data_train/sample164.png,[ -12.  -25.  410.   20.  380.  602.   29.  600.]
./data_train/sample165.png,[  22.   38.  362.  -57.  391.  621.   12.  643.]
./data_train/sample166.png,[  26.   36.  433.   50.  366.  570.   21.  622.]
./data_train/sample167.png,[  11.   53.  426.   16.  424.  609.   -1.  577.]
./data_train/sample168.png,[  29.   18.  363.   -6.  403.  548.  -28.  590.]
./data_train/sample169.png,[ -37.   27.  364.   38.  422.  576.   35.  638.]
./data_train/sample170.png,[ -19.   22.  365.  -57.  390.  645.  -17.  565.]
./data_train/sample171.png,[  23.   12.  425.  -15.  371.  558.    6.  652.]
./data_train/sample172.png,[  21.  -42.  407.   47.  361.  593.  -16.  554.]
./data_train/sample173.png,[  -5.  -21.  394.  -34.  425.  600.   33.  604.]
./data_train/sample174.png,[  16.   38.  388.  -30.  436.  595.  -17.  578.]
./data_train/sample175.png,[   7.    6.  428.  -22.  391.  652.    6.  628.]
./data_train/sample176.png,[ -35.   32.  429.   23.  405.  574.  -29.  635.]
./data_train/sample177.png,[  12.  -11.  378.   59.  365.  600.  -11.  617.]
./data_train/sample178.png,[  10.   54.  415.   33.  418.  610.  -18.  557.]
./data_train/sample179.png,[  16.   54.  371.  -48.  373.  590.   -2.  582.]
./data_train/sample180.png,[  35.  -40.  371.   26.  406.  618.   36.  635.]
./data_train/sample181.png,[  -6.  -46.  369.   48.  427.  659.  -34.  654.]
./data_train/sample182.png,[ -38.   13.  390.    9.  433.  632.  -20.  565.]
./data_train/sample183.png,[  -6.   -6.  402.   -1.  398.  590.  -35.  562.]
./data_train/sample184.png,[ -33.  -22.  408.  -23.  399.  563.   24.  634.]
./data_train/sample185.png,[ -10.  -14.  409.  -51.  378.  621.   -1.  567.]
./data_train/sample186.png,[ -18.   37.  418.   15.  408.  609.   36.  627.]
./data_train/sample187.png,[  -5.   -4.  404.  -16.  376.  634.  -18.  621.]
./data_train/sample188.png,[  23.   38.  391.   43.  398.  656.    1.  602.]
./data_train/sample189.png,[  -9.  -52.  435.  -11.  433.  544.   32.  593.]
./data_train/sample190.png,[ -24.  -23.  374.   25.  411.  553.   36.  543.]
./data_train/sample191.png,[ -39.  -19.  418.   33.  370.  570.  -30.  597.]
./data_train/sample192.png,[   3.  -13.  366.  -34.  366.  568.   20.  553.]
./data_train/sample193.png,[ -13.    0.  425.  -11.  432.  591.   13.  552.]
./data_train/sample194.png,[ -32.   -4.  369.   -7.  374.  566.   28.  552.]
./data_train/sample195.png,[  -8.   42.  409.   55.  370.  644.  -25.  646.]
./data_train/sample196.png,[   8.  -19.  417.   16.  412.  636.   13.  560.]
./data_train/sample197.png,[  39.   -8.  373.  -21.  368.  551.  -11.  543.]
./data_train/sample198.png,[  13.   29.  430.   20.  389.  542.   -6.  632.]
./data_train/sample199.png,[ -39.   43.  388.  -43.  423.  582.  -37.  621.]
./data_train/sample200.png,[ -27.   13.  413.    2.  436.  635.   28.  584.]
./data_train/sample201.png,[  28.   27.  405.   49.  402.  598.  -31.  586.]
./data_train/sample202.png,[ -35.  -58.  423.   12.  404.  546.    5.  589.]
./data_train/sample203.png,[   1.   -7.  395.   33.  432.  591.   32.  542.]
./data_train/sample204.png,[ -33.   -2.  413.   23.  382.  552.   24.  575.]
./data_train/sample205.png,[  10.  -13.  429.   -2.  402.  597.  -31.  577.]
./data_train/sample206.png,[ -27.   34.  400.    8.  408.  582.   -1.  646.]
./data_train/sample207.png,[  38.   -4.  430.   22.  433.  553.  -16.  565.]
./data_train/sample208.png,[   1.    1.  368.   -8.  369.  600.   32.  600.]
./data_train/sample209.png,[   8.   19.  362.   57.  401.  580.   -9.  585.]
./data_train/sample210.png,[ -18.   -1.  366.   53.  437.  564.   26.  542.]
./data_train/sample211.png,[  31.  -37.  437.  -15.  398.  624.   29.  584.]
./data_train/sample212.png,[ -22.  -48.  402.  -55.  392.  634.    2.  620.]
./data_train/sample213.png,[  14.    9.  363.   56.  437.  596.  -13.  654.]
./data_train/sample214.png,[  33.   -2.  437.    7.  375.  562.  -13.  547.]
./data_train/sample215.png,[  36.  -46.  369.   11.  425.  631.   34.  543.]
./data_train/sample216.png,[ -14.  -34.  392.    0.  370.  614.  -38.  578.]
./data_train/sample217.png,[  38.   -5.  439.  -28.  414.  611.    4.  580.]
./data_train/sample218.png,[ -30.  -34.  398.  -15.  388.  659.  -26.  554.]
./data_train/sample219.png,[  37.  -23.  405.  -47.  367.  610.  -31.  577.]
./data_train/sample220.png,[ -20.  -18.  396.  -53.  366.  580.  -39.  659.]
./data_train/sample221.png,[ -38.   15.  399.  -36.  387.  549.   18.  612.]
./data_train/sample222.png,[   1.   15.  396.  -17.  431.  631.    0.  601.]
./data_train/sample223.png,[ -29.  -44.  418.  -27.  417.  562.   -5.  571.]
./data_train/sample224.png,[ -28.   37.  392.  -24.  381.  616.    9.  627.]
./data_train/sample225.png,[ -31.   -8.  415.   26.  390.  636.  -22.  659.]
./data_train/sample226.png,[  28.   20.  375.    5.  389.  572.   20.  594.]
./data_train/sample227.png,[ -19.   59.  429.   18.  384.  580.   20.  595.]
./data_train/sample228.png,[   8.   27.  388.  -54.  397.  649.  -23.  600.]
./data_train/sample229.png,[  34.  -11.  413.   50.  416.  612.    0.  551.]
./data_train/sample230.png,[  18.   26.  389.  -36.  370.  601.    7.  608.]
./data_train/sample231.png,[   1.  -38.  397.  -31.  391.  585.  -28.  621.]
./data_train/sample232.png,[  -9.  -34.  426.   11.  382.  655.   24.  570.]
./data_train/sample233.png,[ -31.  -43.  420.  -52.  428.  583.    7.  629.]
./data_train/sample234.png,[ -26.   46.  378.    8.  417.  593.    4.  615.]
./data_train/sample235.png,[  -5.  -51.  400.   14.  413.  573.   -1.  638.]
./data_train/sample236.png,[ -38.  -53.  387.   43.  376.  550.  -27.  549.]
./data_train/sample237.png,[  12.   53.  390.  -42.  370.  595.  -11.  557.]
./data_train/sample238.png,[   8.   -8.  433.   34.  406.  652.  -11.  610.]
./data_train/sample239.png,[  13.  -57.  366.  -18.  377.  603.   31.  564.]
./data_train/sample240.png,[   1.   20.  389.  -30.  420.  568.   24.  601.]
./data_train/sample241.png,[  24.   -5.  366.   11.  400.  542.  -24.  652.]
./data_train/sample242.png,[   9.  -32.  361.   14.  373.  595.   -9.  602.]
./data_train/sample243.png,[  28.  -49.  429.  -56.  413.  564.   20.  580.]
./data_train/sample244.png,[ -36.    0.  373.  -17.  402.  581.  -32.  576.]
./data_train/sample245.png,[   1.   39.  419.  -42.  381.  605.   -5.  651.]
./data_train/sample246.png,[  17.   -7.  422.  -28.  428.  599.   10.  655.]
./data_train/sample247.png,[ -39.   24.  394.  -56.  429.  624.  -36.  609.]
./data_train/sample248.png,[  28.   52.  404.  -42.  386.  565.  -20.  615.]
./data_train/sample249.png,[  22.  -41.  437.    0.  371.  550.  -21.  623.]
./data_train/sample250.png,[   8.  -35.  395.    0.  369.  626.  -29.  594.]
./data_train/sample251.png,[  31.   21.  397.  -23.  403.  575.   19.  658.]
./data_train/sample252.png,[ -31.   20.  371.  -20.  399.  642.   36.  620.]
./data_train/sample253.png,[ -39.    5.  434.   14.  392.  600.   21.  557.]
./data_train/sample254.png,[ -10.  -26.  361.   17.  386.  544.    6.  617.]
./data_train/sample255.png,[  -5.   28.  436.  -33.  407.  639.   -2.  600.]
./data_train/sample256.png,[  20.   58.  405.    0.  376.  601.   11.  639.]
./data_train/sample257.png,[  12.   21.  366.   55.  374.  581.   -1.  563.]
./data_train/sample258.png,[  36.  -26.  424.  -15.  388.  578.  -34.  584.]
./data_train/sample259.png,[  19.  -15.  403.   34.  423.  594.   -9.  644.]
./data_train/sample260.png,[ -26.   29.  400.   43.  369.  541.   -5.  613.]
./data_train/sample261.png,[  10.   27.  393.   32.  366.  563.   14.  548.]
./data_train/sample262.png,[  17.  -29.  399.   48.  398.  598.    4.  606.]
./data_train/sample263.png,[ -29.   58.  414.  -26.  379.  593.  -19.  608.]
./data_train/sample264.png,[  39.  -39.  395.  -27.  378.  610.   -5.  597.]
./data_train/sample265.png,[  15.   51.  366.   13.  426.  617.   -7.  612.]
./data_train/sample266.png,[ -37.    6.  401.   31.  372.  577.   14.  658.]
./data_train/sample267.png,[  12.  -38.  392.  -15.  375.  553.  -29.  623.]
./data_train/sample268.png,[  27.   24.  421.   33.  388.  601.    1.  636.]
./data_train/sample269.png,[   3.  -53.  438.  -45.  390.  654.   29.  551.]
./data_train/sample270.png,[  32.   12.  378.   50.  436.  609.  -31.  659.]
./data_train/sample271.png,[   4.   55.  399.   48.  361.  580.   -2.  571.]
./data_train/sample272.png,[ -20.   19.  409.   37.  374.  567.  -34.  625.]
./data_train/sample273.png,[ -10.  -33.  414.  -24.  423.  625.  -26.  648.]
./data_train/sample274.png,[  24.  -47.  388.   -2.  434.  576.   17.  649.]
./data_train/sample275.png,[   6.   14.  400.   39.  415.  655.   -7.  621.]
./data_train/sample276.png,[  19.  -43.  392.  -38.  379.  599.  -13.  574.]
./data_train/sample277.png,[  22.    3.  420.  -52.  398.  602.  -28.  614.]
./data_train/sample278.png,[ -12.   55.  366.   46.  377.  593.   15.  658.]
./data_train/sample279.png,[  -8.  -55.  434.   46.  389.  653.  -14.  593.]
./data_train/sample280.png,[   9.   37.  399.   38.  371.  557.  -38.  644.]
./data_train/sample281.png,[  25.   12.  372.   32.  398.  556.   34.  656.]
./data_train/sample282.png,[  27.    0.  367.   30.  415.  656.    6.  564.]
./data_train/sample283.png,[ -19.    5.  409.  -47.  416.  570.   -5.  572.]
./data_train/sample284.png,[  32.   11.  436.   31.  380.  601.   17.  635.]
./data_train/sample285.png,[  25.    1.  374.  -33.  407.  622.  -15.  571.]
./data_train/sample286.png,[ -12.  -47.  369.   57.  430.  587.  -32.  554.]
./data_train/sample287.png,[ -30.  -20.  406.   -9.  388.  588.   26.  574.]
./data_train/sample288.png,[  30.    5.  430.   35.  372.  611.  -38.  550.]
./data_train/sample289.png,[ -37.   19.  391.   -9.  376.  589.   33.  588.]
./data_train/sample290.png,[   3.   56.  388.   -9.  370.  620.   30.  600.]
./data_train/sample291.png,[  -6.    0.  365.   45.  424.  587.   11.  659.]
./data_train/sample292.png,[ -10.   33.  392.   27.  425.  638.  -10.  610.]
./data_train/sample293.png,[  12.   -4.  412.  -42.  415.  610.    8.  590.]
./data_train/sample294.png,[ -13.  -22.  408.   24.  374.  646.   27.  650.]
./data_train/sample295.png,[  24.   30.  401.  -55.  425.  552.  -33.  610.]
./data_train/sample296.png,[  26.  -40.  400.   -1.  406.  613.   38.  567.]
./data_train/sample297.png,[   5.   52.  429.  -27.  397.  651.  -13.  541.]
./data_train/sample298.png,[   9.   57.  439.    5.  375.  564.  -30.  617.]
./data_train/sample299.png,[ -10.  -15.  396.   59.  430.  645.    6.  543.]
./data_train/sample300.png,[  -5.   -1.  365.    3.  402.  595.   13.  650.]
./data_train/sample301.png,[  28.   21.  378.   28.  373.  579.  -23.  566.]
./data_train/sample302.png,[ -16.  -23.  428.   36.  405.  647.   19.  634.]
./data_train/sample303.png,[ -37.   27.  411.   19.  411.  601.   26.  617.]
./data_train/sample304.png,[  17.  -35.  434.   40.  376.  592.   26.  571.]
./data_train/sample305.png,[  33.  -10.  400.  -30.  389.  603.    9.  604.]
./data_train/sample306.png,[ -35.  -34.  398.   43.  401.  600.  -25.  583.]
./data_train/sample307.png,[ -33.  -25.  428.   43.  416.  623.   -8.  646.]
./data_train/sample308.png,[ -20.  -49.  418.   18.  369.  592.  -31.  632.]
./data_train/sample309.png,[  32.   58.  433.   48.  396.  573.   12.  600.]
./data_train/sample310.png,[  -7.  -13.  376.   31.  396.  542.  -19.  635.]
./data_train/sample311.png,[ -21.  -17.  431.    0.  427.  549.   13.  544.]
./data_train/sample312.png,[ -31.   42.  383.   49.  397.  584.   37.  588.]
./data_train/sample313.png,[  32.    1.  424.  -25.  414.  590.   -5.  655.]
./data_train/sample314.png,[  23.  -19.  412.  -44.  422.  552.   28.  593.]
./data_train/sample315.png,[   6.   56.  437.   25.  423.  653.  -31.  657.]
./data_train/sample316.png,[  23.   11.  379.   48.  427.  589.  -27.  627.]
./data_train/sample317.png,[   9.  -19.  382.   53.  393.  569.   10.  604.]
./data_train/sample318.png,[  38.  -36.  395.  -48.  383.  637.  -21.  622.]
./data_train/sample319.png,[  14.   59.  423.   -6.  424.  560.  -32.  576.]
./data_train/sample320.png,[ -18.   30.  397.   53.  408.  563.   33.  658.]
./data_train/sample321.png,[   1.  -25.  391.   15.  375.  548.   -8.  606.]
./data_train/sample322.png,[  24.  -55.  427.    6.  425.  612.  -30.  632.]
./data_train/sample323.png,[  14.  -57.  424.  -44.  410.  619.   -2.  628.]
./data_train/sample324.png,[ -13.   48.  401.    4.  362.  598.  -23.  626.]
./data_train/sample325.png,[ -25.   11.  418.  -22.  372.  615.   17.  541.]
./data_train/sample326.png,[ -30.  -26.  406.   -2.  433.  632.   23.  623.]
./data_train/sample327.png,[  20.   -3.  418.  -41.  428.  605.   -4.  598.]
./data_train/sample328.png,[ -23.   44.  363.   49.  432.  559.   38.  604.]
./data_train/sample329.png,[  25.  -51.  391.  -19.  428.  608.   19.  594.]
./data_train/sample330.png,[  11.  -56.  405.    0.  406.  558.   -1.  577.]
./data_train/sample331.png,[  32.   28.  396.   25.  400.  588.   22.  599.]
./data_train/sample332.png,[  31.  -24.  407.  -37.  419.  637.   38.  542.]
./data_train/sample333.png,[  25.  -20.  383.   36.  403.  576.   24.  608.]
./data_train/sample334.png,[ -26.  -18.  383.   -6.  436.  652.  -22.  559.]
./data_train/sample335.png,[  -7.   39.  407.  -12.  372.  602.  -13.  576.]
./data_train/sample336.png,[  39.   38.  398.   21.  420.  570.   23.  617.]
./data_train/sample337.png,[  33.    3.  403.   55.  385.  563.   -7.  586.]
./data_train/sample338.png,[   4.   57.  380.  -34.  437.  561.  -29.  618.]
./data_train/sample339.png,[  -4.  -47.  400.   40.  378.  593.   15.  625.]
./data_train/sample340.png,[  20.   11.  363.    2.  410.  559.   29.  608.]
./data_train/sample341.png,[ -15.  -47.  422.  -46.  420.  576.  -15.  610.]
./data_train/sample342.png,[  19.  -11.  394.   15.  377.  631.  -22.  543.]
./data_train/sample343.png,[ -20.  -53.  423.   39.  377.  625.   37.  634.]
./data_train/sample344.png,[  19.   43.  392.  -24.  429.  548.    1.  590.]
./data_train/sample345.png,[  31.   35.  391.   12.  391.  553.   14.  655.]
./data_train/sample346.png,[   0.   -1.  420.  -41.  361.  572.   29.  604.]
./data_train/sample347.png,[  25.  -26.  430.  -31.  439.  573.  -37.  621.]
./data_train/sample348.png,[ -39.   59.  433.   12.  419.  555.   38.  638.]
./data_train/sample349.png,[ -11.   58.  402.   51.  403.  609.   -8.  595.]
